achievement_id,group_id,name,tier,tier_name,category,rarity,rule_type,rule_filter,target,display_order,xp_reward,description,evidence_hint,is_hidden,hint,auto_grant,ui_badge_style,icon_path,icon_url
ACH_TIER_SESSION_ROUTINE_T1,ACH_TIER_SESSION_ROUTINE,세션 루틴 1,1,Bronze,루틴,common,count_events,"{""event_type"": ""SESSION"", ""min_duration"": 10}",8,1,60,조건을 만족한 이벤트를 8회 달성하세요. (이벤트: SESSION / 세션 10분 이상),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_bronze,,
ACH_TIER_SESSION_ROUTINE_T2,ACH_TIER_SESSION_ROUTINE,세션 루틴 2,2,Silver,루틴,rare,count_events,"{""event_type"": ""SESSION"", ""min_duration"": 10}",24,1,100,조건을 만족한 이벤트를 24회 달성하세요. (이벤트: SESSION / 세션 10분 이상),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_silver,,
ACH_TIER_SESSION_ROUTINE_T3,ACH_TIER_SESSION_ROUTINE,세션 루틴 3,3,Gold,루틴,epic,count_events,"{""event_type"": ""SESSION"", ""min_duration"": 10}",60,1,200,조건을 만족한 이벤트를 60회 달성하세요. (이벤트: SESSION / 세션 10분 이상),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_gold,,
ACH_TIER_SESSION_ROUTINE_T4,ACH_TIER_SESSION_ROUTINE,세션 루틴 4,4,Platinum,루틴,legendary,count_events,"{""event_type"": ""SESSION"", ""min_duration"": 10}",140,1,320,조건을 만족한 이벤트를 140회 달성하세요. (이벤트: SESSION / 세션 10분 이상),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_platinum,,
ACH_TIER_SESSION_ROUTINE_T5,ACH_TIER_SESSION_ROUTINE,세션 루틴 5,5,Diamond,루틴,mythic,count_events,"{""event_type"": ""SESSION"", ""min_duration"": 10}",280,1,500,조건을 만족한 이벤트를 280회 달성하세요. (이벤트: SESSION / 세션 10분 이상),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_diamond,,
ACH_TIER_SESSION_ROUTINE_T6,ACH_TIER_SESSION_ROUTINE,세션 루틴 6,6,Master,루틴,mythic,count_events,"{""event_type"": ""SESSION"", ""min_duration"": 10}",520,1,760,조건을 만족한 이벤트를 520회 달성하세요. (이벤트: SESSION / 세션 10분 이상),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_master,,
ACH_TIER_DEEP_FOCUS_T1,ACH_TIER_DEEP_FOCUS,딥 포커스 1,1,Bronze,집중,common,count_events,"{""event_type"": ""SESSION"", ""min_duration"": 30}",3,2,60,조건을 만족한 이벤트를 3회 달성하세요. (이벤트: SESSION / 세션 30분 이상),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_bronze,,
ACH_TIER_DEEP_FOCUS_T2,ACH_TIER_DEEP_FOCUS,딥 포커스 2,2,Silver,집중,rare,count_events,"{""event_type"": ""SESSION"", ""min_duration"": 30}",10,2,100,조건을 만족한 이벤트를 10회 달성하세요. (이벤트: SESSION / 세션 30분 이상),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_silver,,
ACH_TIER_DEEP_FOCUS_T3,ACH_TIER_DEEP_FOCUS,딥 포커스 3,3,Gold,집중,epic,count_events,"{""event_type"": ""SESSION"", ""min_duration"": 30}",25,2,200,조건을 만족한 이벤트를 25회 달성하세요. (이벤트: SESSION / 세션 30분 이상),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_gold,,
ACH_TIER_DEEP_FOCUS_T4,ACH_TIER_DEEP_FOCUS,딥 포커스 4,4,Platinum,집중,legendary,count_events,"{""event_type"": ""SESSION"", ""min_duration"": 30}",55,2,320,조건을 만족한 이벤트를 55회 달성하세요. (이벤트: SESSION / 세션 30분 이상),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_platinum,,
ACH_TIER_DEEP_FOCUS_T5,ACH_TIER_DEEP_FOCUS,딥 포커스 5,5,Diamond,집중,mythic,count_events,"{""event_type"": ""SESSION"", ""min_duration"": 30}",110,2,500,조건을 만족한 이벤트를 110회 달성하세요. (이벤트: SESSION / 세션 30분 이상),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_diamond,,
ACH_TIER_DEEP_FOCUS_T6,ACH_TIER_DEEP_FOCUS,딥 포커스 6,6,Master,집중,mythic,count_events,"{""event_type"": ""SESSION"", ""min_duration"": 30}",200,2,760,조건을 만족한 이벤트를 200회 달성하세요. (이벤트: SESSION / 세션 30분 이상),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_master,,
ACH_TIER_LONG_FOCUS_T1,ACH_TIER_LONG_FOCUS,롱폼 집중 1,1,Bronze,집중,common,count_events,"{""event_type"": ""SESSION"", ""min_duration"": 50}",2,3,60,조건을 만족한 이벤트를 2회 달성하세요. (이벤트: SESSION / 세션 50분 이상),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_bronze,,
ACH_TIER_LONG_FOCUS_T2,ACH_TIER_LONG_FOCUS,롱폼 집중 2,2,Silver,집중,rare,count_events,"{""event_type"": ""SESSION"", ""min_duration"": 50}",6,3,100,조건을 만족한 이벤트를 6회 달성하세요. (이벤트: SESSION / 세션 50분 이상),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_silver,,
ACH_TIER_LONG_FOCUS_T3,ACH_TIER_LONG_FOCUS,롱폼 집중 3,3,Gold,집중,epic,count_events,"{""event_type"": ""SESSION"", ""min_duration"": 50}",14,3,200,조건을 만족한 이벤트를 14회 달성하세요. (이벤트: SESSION / 세션 50분 이상),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_gold,,
ACH_TIER_LONG_FOCUS_T4,ACH_TIER_LONG_FOCUS,롱폼 집중 4,4,Platinum,집중,legendary,count_events,"{""event_type"": ""SESSION"", ""min_duration"": 50}",30,3,320,조건을 만족한 이벤트를 30회 달성하세요. (이벤트: SESSION / 세션 50분 이상),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_platinum,,
